event_name,jurisdiction,event_date,window_days,outcome,treated_pre_mean,treated_post_mean,treated_change,all_pre_mean,all_post_mean,all_change
Japan Payment Services Act stablecoin amendments,JP,2023-06-01,7,peg_deviation,,,,0.0013584170313291847,0.001372860968132531,1.444393680334632e-05
Japan Payment Services Act stablecoin amendments,JP,2023-06-01,7,rolling_volatility_7d,,,,0.0031996410101894253,0.002085490648786001,-0.0011141503614034245
Japan Payment Services Act stablecoin amendments,JP,2023-06-01,7,market_cap_growth_7d,,,,-0.008306176428151794,-0.023776543217067347,-0.015470366788915554
Japan Payment Services Act stablecoin amendments,JP,2023-06-01,7,volume_market_cap_ratio,,,,0.14895767623710165,0.16006694042476124,0.01110926418765959
Japan Payment Services Act stablecoin amendments,JP,2023-06-01,30,peg_deviation,,,,0.0021046685023359013,0.002127838201590279,2.3169699254377892e-05
Japan Payment Services Act stablecoin amendments,JP,2023-06-01,30,rolling_volatility_7d,,,,0.003434509922010234,0.0026694692475011978,-0.0007650406745090361
Japan Payment Services Act stablecoin amendments,JP,2023-06-01,30,market_cap_growth_7d,,,,-0.004314337404695547,0.020786102014362266,0.02510043941905781
Japan Payment Services Act stablecoin amendments,JP,2023-06-01,30,volume_market_cap_ratio,,,,0.15251247211770985,0.1676056538595419,0.015093181741832051
Japan Payment Services Act stablecoin amendments,JP,2023-06-01,90,peg_deviation,,,,0.0027466865431512006,0.0018572302833420515,-0.0008894562598091491
Japan Payment Services Act stablecoin amendments,JP,2023-06-01,90,rolling_volatility_7d,,,,0.003973093399255907,0.002542272425831745,-0.0014308209734241618
Japan Payment Services Act stablecoin amendments,JP,2023-06-01,90,market_cap_growth_7d,,,,0.000374890194719934,117.26819743171707,117.26782254152235
Japan Payment Services Act stablecoin amendments,JP,2023-06-01,90,volume_market_cap_ratio,,,,0.18549068371142385,0.16209445047279367,-0.023396233238630187
Singapore MAS stablecoin framework,SG,2023-08-15,7,peg_deviation,,,,0.0012999800127061654,0.0014906576120240999,0.00019067759931793446
Singapore MAS stablecoin framework,SG,2023-08-15,7,rolling_volatility_7d,,,,0.002129077762519819,0.002323692390158848,0.00019461462763902893
