jurisdiction,index,index_score,dimensions_scored,total_weight,index_score_weight_normalized
EU,监管强度指数,93.0,10,1.0,93.0
HK,监管强度指数,91.0,10,1.0,91.0
JP,监管强度指数,75.0,10,1.0,75.0
SG,监管强度指数,80.5,10,1.0,80.5
US,监管强度指数,98.0,10,1.0,98.0
EU,跨境协同指数,93.0,7,1.0,93.0
HK,跨境协同指数,81.5,7,1.0,81.5
JP,跨境协同指数,72.0,7,1.0,72.0
SG,跨境协同指数,77.5,7,1.0,77.5
US,跨境协同指数,82.5,7,1.0,82.5
EU,金融基础设施成熟度指数,94.0,8,1.0,94.0
HK,金融基础设施成熟度指数,97.5,8,1.0,97.5
JP,金融基础设施成熟度指数,79.0,8,1.0,79.0
SG,金融基础设施成熟度指数,97.5,8,1.0,97.5
US,金融基础设施成熟度指数,67.0,8,1.0,67.0
